book,chapter_num,afinn_mean
Fourth Wing,39,-0.65
Fourth Wing,41,-0.4731457800511509
Fourth Wing,43,-0.8260869565217391
Fourth Wing,45,-0.6679841897233202
Fourth Wing,47,-0.82
Fourth Wing,49,-0.6331877729257642
Fourth Wing,51,-0.6455696202531646
Fourth Wing,53,-1.3691588785046729
Fourth Wing,55,-0.336
Fourth Wing,57,-0.9609756097560975
Fourth Wing,59,-0.6490683229813664
Fourth Wing,60,-0.4050632911392405
Fourth Wing,61,-0.6813186813186813
Fourth Wing,62,-0.7686567164179104
Fourth Wing,63,-1.319672131147541
Fourth Wing,64,-0.11214953271028037
Fourth Wing,65,-0.8017241379310345
Fourth Wing,66,-0.6060606060606061
Fourth Wing,67,-0.9464882943143813
Fourth Wing,68,-1.162962962962963
Fourth Wing,69,-0.43478260869565216
Fourth Wing,70,-0.30833333333333335
Fourth Wing,71,-0.8753541076487252
Fourth Wing,72,-0.5243445692883895
Fourth Wing,73,-0.37453183520599254
Fourth Wing,74,-0.1590909090909091
Fourth Wing,75,-0.13664596273291926
Fourth Wing,76,-1.08300395256917
Fourth Wing,77,-0.6917808219178082
Fourth Wing,78,-0.9830508474576272
Fourth Wing,79,-0.6559485530546624
Fourth Wing,80,-0.5214521452145214
Fourth Wing,81,-0.6579925650557621
Fourth Wing,82,-0.8134328358208955
Fourth Wing,83,-0.5486111111111112
Fourth Wing,84,-1.1555555555555554
Fourth Wing,85,-1.0350877192982457
Fourth Wing,86,-1.079136690647482
Fourth Wing,87,-1.165289256198347
Fourth Wing,88,-0.40977443609022557
Ignite Me,0,2.5
Ignite Me,79,-0.8428571428571429
Ignite Me,80,-1
Ignite Me,81,-0.05555555555555555
Ignite Me,82,-0.1590909090909091
Ignite Me,83,-0.8037383177570093
Ignite Me,84,-1.024390243902439
Ignite Me,85,-0.9264705882352942
Ignite Me,86,0.021739130434782608
Ignite Me,87,-0.6296296296296297
Ignite Me,88,-0.7951668584579977
Ignite Me,91,-0.44803098773402195
Iron Flame,0,-0.5
Iron Flame,66,0
Iron Flame,67,-0.4539877300613497
Iron Flame,68,-0.4870848708487085
Iron Flame,69,-0.7440758293838863
Iron Flame,70,-1.0386740331491713
Iron Flame,71,-0.3230769230769231
Iron Flame,72,-0.6310679611650486
Iron Flame,73,-0.4342105263157895
Iron Flame,74,-1.0035714285714286
Iron Flame,75,-0.8191489361702128
Iron Flame,76,-1.2512562814070352
Iron Flame,77,-0.48484848484848486
Iron Flame,78,-0.5869565217391305
Iron Flame,79,-1.164319248826291
Iron Flame,80,-0.9221556886227545
Iron Flame,81,-1.013157894736842
Iron Flame,82,-0.5402843601895735
Iron Flame,83,-0.9565217391304348
Iron Flame,84,-0.8301886792452831
Iron Flame,85,-0.925531914893617
Iron Flame,86,-0.3720136518771331
Iron Flame,87,-0.8571428571428571
Iron Flame,88,-1.0392156862745099
Iron Flame,89,-0.6351351351351351
Iron Flame,90,-1.0879120879120878
Iron Flame,91,-0.8125
Iron Flame,92,-0.875
Iron Flame,93,-1.0141342756183747
Iron Flame,94,-0.7678571428571429
Iron Flame,95,-1.0160427807486632
Iron Flame,96,-0.8393782383419689
Iron Flame,97,-1
Iron Flame,98,-0.751937984496124
Iron Flame,99,-0.6324786324786325
Iron Flame,100,0.12162162162162163
Iron Flame,101,-1.0082872928176796
Iron Flame,102,-0.6949685534591195
Iron Flame,103,-0.44041450777202074
Iron Flame,104,-0.7251908396946565
Iron Flame,105,-0.8053691275167785
