book,chapter_num,sentiment,n,total_words,saga,prop
The Mortal Instruments 06 - Cit,0,negative,6425,34554,Shadowhunters,0.18594084621172657
The Mortal Instruments 06 - Cit,0,positive,5799,34554,Shadowhunters,0.16782427504775135
The Mortal Instruments 03 - Cit,0,negative,5310,25516,Shadowhunters,0.20810471860793228
The Mortal Instruments 01 - Cit,0,negative,4877,23790,Shadowhunters,0.2050021017234132
The Mortal Instruments 05 - Cit,24,negative,4507,23736,Shadowhunters,0.1898803505224132
The Mortal Instruments 02 - Cit,0,negative,4420,21375,Shadowhunters,0.20678362573099415
The Mortal Instruments 04 - Cit,0,negative,4118,21509,Shadowhunters,0.19145473987633083
The Mortal Instruments 05 - Cit,24,positive,4080,23736,Shadowhunters,0.1718907987866532
The Mortal Instruments 03 - Cit,0,positive,3761,25516,Shadowhunters,0.14739771124000628
The Mortal Instruments 06 - Cit,0,fear,3704,34554,Shadowhunters,0.10719453608844128
The Mortal Instruments 06 - Cit,0,trust,3690,34554,Shadowhunters,0.10678937315506164
The Mortal Instruments 01 - Cit,0,positive,3683,23790,Shadowhunters,0.1548129466162253
The Mortal Instruments 06 - Cit,0,sadness,3515,34554,Shadowhunters,0.10172483648781618
The Mortal Instruments 04 - Cit,0,positive,3460,21509,Shadowhunters,0.16086289460225953
The Mortal Instruments 02 - Cit,0,positive,3064,21375,Shadowhunters,0.14334502923976608
The Mortal Instruments 06 - Cit,0,anger,2873,34554,Shadowhunters,0.08314522197140707
The Mortal Instruments 03 - Cit,0,sadness,2772,25516,Shadowhunters,0.1086377175105816
The Mortal Instruments 06 - Cit,0,anticipation,2716,34554,Shadowhunters,0.07860160907564971
Shatter Me,23,negative,2649,13556,Shadowhunters,0.19541162584833285
The Mortal Instruments 03 - Cit,0,fear,2634,25516,Shadowhunters,0.10322934629252234
The Mortal Instruments 01 - Cit,0,sadness,2604,23790,Shadowhunters,0.1094577553593947
The Mortal Instruments 05 - Cit,24,sadness,2461,23736,Shadowhunters,0.10368217054263566
The Mortal Instruments 05 - Cit,24,trust,2416,23736,Shadowhunters,0.10178631614425346
The Mortal Instruments 01 - Cit,0,fear,2400,23790,Shadowhunters,0.1008827238335435
The Mortal Instruments 06 - Cit,0,joy,2376,34554,Shadowhunters,0.06876193783642993
The Mortal Instruments 02 - Cit,0,sadness,2358,21375,Shadowhunters,0.11031578947368421
The Mortal Instruments 02 - Cit,0,fear,2355,21375,Shadowhunters,0.11017543859649123
The Mortal Instruments 03 - Cit,0,trust,2337,25516,Shadowhunters,0.09158959084496003
The Mortal Instruments 01 - Cit,0,trust,2336,23790,Shadowhunters,0.09819251786464901
The Mortal Instruments 05 - Cit,24,fear,2264,23736,Shadowhunters,0.09538254128749579
The Mortal Instruments 03 - Cit,0,anger,2250,25516,Shadowhunters,0.08817996551183571
Shatter Me,23,positive,2185,13556,Shadowhunters,0.16118323989377398
The Mortal Instruments 04 - Cit,0,sadness,2183,21509,Shadowhunters,0.10149239853084756
The Mortal Instruments 04 - Cit,0,fear,2160,21509,Shadowhunters,0.10042307871123715
The Mortal Instruments 04 - Cit,0,trust,2119,21509,Shadowhunters,0.09851689990236645
Ignite Me,91,negative,2074,10868,Shadowhunters,0.19083548030916453
The Mortal Instruments 05 - Cit,24,anticipation,1968,23736,Shadowhunters,0.08291203235591507
The Mortal Instruments 01 - Cit,0,anger,1965,23790,Shadowhunters,0.08259773013871374
The Mortal Instruments 02 - Cit,0,trust,1950,21375,Shadowhunters,0.0912280701754386
The Mortal Instruments 03 - Cit,0,anticipation,1950,25516,Shadowhunters,0.07642263677692428
The Mortal Instruments 05 - Cit,24,anger,1891,23736,Shadowhunters,0.07966801482979441
The Mortal Instruments 02 - Cit,0,anger,1884,21375,Shadowhunters,0.08814035087719298
Ignite Me,91,positive,1853,10868,Shadowhunters,0.17050055207949943
The Mortal Instruments 06 - Cit,0,disgust,1796,34554,Shadowhunters,0.05197661631070209
The Mortal Instruments 04 - Cit,0,anger,1793,21509,Shadowhunters,0.08336045376354084
The Mortal Instruments 04 - Cit,0,anticipation,1764,21509,Shadowhunters,0.08201218094751034
The Mortal Instruments 05 - Cit,24,joy,1761,23736,Shadowhunters,0.07419110212335693
The Mortal Instruments 01 - Cit,0,anticipation,1693,23790,Shadowhunters,0.07116435477091215
The Mortal Instruments 03 - Cit,0,joy,1676,25516,Shadowhunters,0.06568427653237184
The Mortal Instruments 06 - Cit,0,surprise,1660,34554,Shadowhunters,0.04804074781501418
The Mortal Instruments 04 - Cit,0,joy,1658,21509,Shadowhunters,0.07708401134408852
The Mortal Instruments 01 - Cit,0,joy,1605,23790,Shadowhunters,0.06746532156368222
The Mortal Instruments 02 - Cit,0,anticipation,1600,21375,Shadowhunters,0.07485380116959064
The Mortal Instruments 03 - Cit,0,disgust,1578,25516,Shadowhunters,0.061843549145634114
Shatter Me,23,fear,1535,13556,Shadowhunters,0.11323399232812038
The Mortal Instruments 01 - Cit,0,disgust,1527,23790,Shadowhunters,0.06418663303909206
The Mortal Instruments 02 - Cit,0,disgust,1392,21375,Shadowhunters,0.06512280701754386
The Mortal Instruments 02 - Cit,0,joy,1292,21375,Shadowhunters,0.060444444444444446
The Mortal Instruments 04 - Cit,0,disgust,1262,21509,Shadowhunters,0.05867311358036171
The Mortal Instruments 05 - Cit,24,disgust,1249,23736,Shadowhunters,0.05262049207954162
The Mortal Instruments 03 - Cit,0,surprise,1248,25516,Shadowhunters,0.04891048753723154
Shatter Me,23,sadness,1214,13556,Shadowhunters,0.08955444083800532
Shatter Me,23,trust,1174,13556,Shadowhunters,0.08660371791088817
Shatter Me,23,anticipation,1139,13556,Shadowhunters,0.08402183534966066
The Mortal Instruments 05 - Cit,24,surprise,1139,23736,Shadowhunters,0.04798618132794068
Ignite Me,91,fear,1138,10868,Shadowhunters,0.10471107839528893
Shatter Me,23,anger,1125,13556,Shadowhunters,0.08298908232516966
