saga_actual,saga_candidata,similitud,diferencia_rating
Fallen,The Maze Runner,0.9904761904761903,0.006666666666666821
The Maze Runner,Fallen,0.9904761904761903,0.006666666666666821
Empyrean,Throne of Glass,0.947619047619047,0.03666666666666707
Throne of Glass,Empyrean,0.947619047619047,0.03666666666666707
Shadowhunters,Shatter Me,0.9238095238095233,0.05333333333333368
Shatter Me,Shadowhunters,0.9238095238095233,0.05333333333333368
Divergent,Shatter Me,0.8785714285714287,0.08499999999999996
Shatter Me,Divergent,0.8785714285714287,0.08499999999999996
Shadowhunters,Vampire Academy,0.8666666666666674,0.09333333333333282
Vampire Academy,Shadowhunters,0.8666666666666674,0.09333333333333282
Percy Jackson & the Olympians,Vampire Academy,0.8552380952380947,0.10133333333333372
Vampire Academy,Percy Jackson & the Olympians,0.8552380952380947,0.10133333333333372
Empyrean,Percy Jackson & the Olympians,0.8209523809523817,0.12533333333333285
Percy Jackson & the Olympians,Empyrean,0.8209523809523817,0.12533333333333285
Divergent,Shadowhunters,0.802380952380952,0.13833333333333364
Shadowhunters,Divergent,0.802380952380952,0.13833333333333364
Shatter Me,Vampire Academy,0.7904761904761908,0.1466666666666665
Vampire Academy,Shatter Me,0.7904761904761908,0.1466666666666665
Percy Jackson & the Olympians,Throne of Glass,0.7685714285714287,0.16199999999999992
Throne of Glass,Percy Jackson & the Olympians,0.7685714285714287,0.16199999999999992
Percy Jackson & the Olympians,Shadowhunters,0.7219047619047622,0.19466666666666654
Shadowhunters,Percy Jackson & the Olympians,0.7219047619047622,0.19466666666666654
Divergent,Fallen,0.7166666666666668,0.19833333333333325
Fallen,Divergent,0.7166666666666668,0.19833333333333325
Divergent,The Maze Runner,0.7071428571428571,0.20500000000000007
The Maze Runner,Divergent,0.7071428571428571,0.20500000000000007
Empyrean,Vampire Academy,0.6761904761904765,0.22666666666666657
Vampire Academy,Empyrean,0.6761904761904765,0.22666666666666657
Divergent,Vampire Academy,0.6690476190476194,0.23166666666666647
Vampire Academy,Divergent,0.6690476190476194,0.23166666666666647
Percy Jackson & the Olympians,Shatter Me,0.6457142857142855,0.24800000000000022
Shatter Me,Percy Jackson & the Olympians,0.6457142857142855,0.24800000000000022
Throne of Glass,Vampire Academy,0.6238095238095235,0.26333333333333364
Vampire Academy,Throne of Glass,0.6238095238095235,0.26333333333333364
Fallen,Shatter Me,0.5952380952380956,0.2833333333333332
Shatter Me,Fallen,0.5952380952380956,0.2833333333333332
Shatter Me,The Maze Runner,0.5857142857142857,0.29000000000000004
The Maze Runner,Shatter Me,0.5857142857142857,0.29000000000000004
Empyrean,Shadowhunters,0.5428571428571438,0.3199999999999994
Shadowhunters,Empyrean,0.5428571428571438,0.3199999999999994
Divergent,Percy Jackson & the Olympians,0.5242857142857141,0.3330000000000002
Percy Jackson & the Olympians,Divergent,0.5242857142857141,0.3330000000000002
Fallen,Shadowhunters,0.5190476190476189,0.3366666666666669
Shadowhunters,Fallen,0.5190476190476189,0.3366666666666669
Shadowhunters,The Maze Runner,0.509523809523809,0.3433333333333337
The Maze Runner,Shadowhunters,0.509523809523809,0.3433333333333337
Shadowhunters,Throne of Glass,0.49047619047619084,0.35666666666666647
Throne of Glass,Shadowhunters,0.49047619047619084,0.35666666666666647
Empyrean,Shatter Me,0.46666666666666723,0.3733333333333331
Shatter Me,Empyrean,0.46666666666666723,0.3733333333333331
Shatter Me,Throne of Glass,0.41428571428571426,0.41000000000000014
Throne of Glass,Shatter Me,0.41428571428571426,0.41000000000000014
Fallen,Vampire Academy,0.38571428571428623,0.4299999999999997
Vampire Academy,Fallen,0.38571428571428623,0.4299999999999997
The Maze Runner,Vampire Academy,0.3761904761904765,0.43666666666666654
Vampire Academy,The Maze Runner,0.3761904761904765,0.43666666666666654
Divergent,Empyrean,0.3452380952380958,0.45833333333333304
Empyrean,Divergent,0.3452380952380958,0.45833333333333304
Divergent,Throne of Glass,0.2928571428571429,0.4950000000000001
Throne of Glass,Divergent,0.2928571428571429,0.4950000000000001
Fallen,Percy Jackson & the Olympians,0.24095238095238103,0.5313333333333334
Percy Jackson & the Olympians,Fallen,0.24095238095238103,0.5313333333333334
Percy Jackson & the Olympians,The Maze Runner,0.2314285714285712,0.5380000000000003
The Maze Runner,Percy Jackson & the Olympians,0.2314285714285712,0.5380000000000003
Empyrean,Fallen,0.061904761904762684,0.6566666666666663
Fallen,Empyrean,0.061904761904762684,0.6566666666666663
Empyrean,The Maze Runner,0.05238095238095297,0.6633333333333331
The Maze Runner,Empyrean,0.05238095238095297,0.6633333333333331
Fallen,Throne of Glass,0.009523809523809712,0.6933333333333334
Throne of Glass,Fallen,0.009523809523809712,0.6933333333333334
The Maze Runner,Throne of Glass,0,0.7000000000000002
Throne of Glass,The Maze Runner,0,0.7000000000000002
